edfi_grade_level,oneroster_grade_level
P3,PK
P4,PK
Prekindergarten,PK
Kindergarten,KG
First grade,01
T1,01
Second grade,02
T2,02
Third grade,03
T3,03
Fourth grade,04
T4,04
Fifth grade,05
T5,05
Sixth grade,06
T6,06
Seventh grade,07
T7,07
Eighth grade,08
T8,08
Ninth grade,09
Tenth grade,10
Eleventh grade,11
Twelfth grade,12
Other,Other
